Provider_Number,Hospital_Name,Address,City,State,ZIP_Code,County_Name,HBIPS-2_Overall_Rate_Per_1000,HBIPS-2_Overall_Num,HBIPS-2_Overall_Den,HBIPS-3_Overall_Rate_Per_1000,HBIPS-3_Overall_Num,HBIPS-3_Overall_Den,HBIPS-5_Overall_%_of_Total,HBIPS-5_Overall_Num,HBIPS-5_Overall_Den,HBIPS-6_Overall_%_of_Total,HBIPS-6_Overall_Num,HBIPS-6_Overall_Den,HBIPS-7_Overall_%_of_Total,HBIPS-7_Overall_Num,HBIPS-7_Overall_Den,SUB-1_%,SUB-1_Numerator,SUB-1_Denominator,TOB-1_%,TOB-1_Numerator,TOB-1_Denominator,TOB-2_%,TOB-2_Numerator,TOB-2/-2a_Denominator,TOB-2a_%,TOB-2a_Numerator,TOB-2/-2a__Denominator,PEoC_Measure_Description,PEoC_Assessed_Response,EHR_Use_Response,HIE_Response,FUH-30_%,FUH-30_Numerator,FUH-30_Denominator,FUH-7_%,FUH-7_Numerator,FUH-7_Denominator,IMM-2_%,IMM-2_Numerator,IMM-2_Denominator,HCP_%,HCP_Numerator,HCP_Denominator
440040,PERRY COMMUNITY HOSPITAL,2718 SQUIRREL HOLLOW DR ,LINDEN,TN,37096,Perry,-0.055606663729009805,0.0,1869.0,-0.04427325161065635,0,1869,-0.19437435190066313,12,18,0.5699062810160147,159,159,0.6333834684663034,155,159,-4.3545079217372775,0,159,0.44404585298775223,159,159,-2.340849192079421,0,24,-1.3486953943795645,0,24,Assessment of Patient Experience of Care,No,Certified EHR Technology,No,,Not Available,Not Available,,Not Available,Not Available,0.7382948352579394,85,85,0.7256795969268701,34,36
440049,METHODIST HEALTHCARE MEMPHIS HOSPITALS,1265 UNION AVE SUITE 700 ,MEMPHIS,TN,38104,Shelby,-0.055606663729009805,0.5,21703.0,-0.04427325161065635,0,21703,,Not Available,Not Available,0.4443352847213441,249,255,0.5679274101748979,245,255,0.49394444484775574,369,370,-0.7139546230098932,307,370,-0.955148785240452,100,251,-0.7427486345399522,42,251,Assessment of Patient Experience of Care,No,Certified EHR Technology,Yes,-2.4412389500171616,20,86,,Not Available,Not Available,0.7382948352579394,170,170,0.8757332969192289,36,37
440050,TAKOMA REGIONAL HOSPITAL,401 TAKOMA AVE ,GREENEVILLE,TN,37743,Greene,-0.04383832786844341,13.25,1848.0,-0.04427325161065635,0,1848,-2.5467229071965427,0,12,0.4950980279042955,212,215,0.6857483150994272,212,215,0.4793597089611068,173,174,0.44404585298775223,173,173,0.9053209627971096,14,15,,Not Available,Not Available,Assessment of Patient Experience of Care,No,Certified EHR Technology,Yes,-0.42071755217043943,14,28,,Not Available,Not Available,0.7382948352579394,82,82,0.6256437969319644,23,25
440058,SOUTHERN TENNESSEE REGIONAL HLTH SYSTEM WINCHESTER,185 HOSPITAL RD ,WINCHESTER,TN,37398,Franklin,-0.055606663729009805,0.0,2201.0,-0.04427325161065635,0,2201,,Not Available,Not Available,0.5362425671157415,157,158,0.7217491471597006,157,158,0.5070707071457397,146,146,0.44404585298775223,145,145,0.6402848910071259,18,21,1.4108433762229504,16,21,Assessment of Patient Experience of Care,No,Paper or Other Form,No,,Not Available,Not Available,,Not Available,Not Available,0.5558710004416247,79,83,0.27551849694979386,190,224
440063,JOHNSON CITY MEDICAL CENTER,400 N STATE OF FRANKLIN RD ,JOHNSON CITY,TN,37604,Washington,-0.05246844083285876,47.23,25613.0,-0.04427325161065635,0,25613,,Not Available,Not Available,0.5512042177380853,1133,1137,0.693696550749098,1123,1137,0.4997783392024149,648,649,0.060538942557527904,602,638,1.0194047312316432,427,442,-0.8734998481096475,58,442,Assessment of Patient Experience of Care,Yes,Certified EHR Technology,No,-1.1763351280293481,18,45,,Not Available,Not Available,0.4131867976911042,447,489,0.9257511969166818,7009,7147
440068,STARR REGIONAL MEDICAL CENTER ATHENS,1114 W MADISON AVE ,ATHENS,TN,37371,McMinn,-0.055606663729009805,0.0,3183.0,-0.04427325161065635,0,3183,,0,0,0.46570907132469186,252,257,0.6057984153292111,249,257,0.5070707071457397,145,145,0.44404585298775223,145,145,,Not Available,Not Available,,Not Available,Not Available,Assessment of Patient Experience of Care,Yes,Paper or Other Form,Yes,,Not Available,Not Available,,Not Available,Not Available,0.4941799525680573,116,124,0.42557219694215265,23,26
440082,SAINT THOMAS WEST HOSPITAL,4220 HARDING RD ,NASHVILLE,TN,37205,Davidson,3.706338033032047,8403.1,3651.0,-0.04427325161065635,0,3651,,Not Available,Not Available,-1.4878550242213364,107,174,-2.1774866918760454,65,174,-1.640288573231889,67,120,0.329809752008536,117,119,0.673675262256258,13,15,,Not Available,Not Available,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,1.1532338583436677,17,24,,Not Available,Not Available,0.46390213766078525,64,69,0.42557219694215265,30,34
440083,TENNOVA HEALTHCARE - JAMESTOWN,436 CENTRAL AVE W ,JAMESTOWN,TN,38556,Fentress,-0.055606663729009805,0.0,1880.0,-0.04427325161065635,0,1880,,Not Available,Not Available,0.26960457923897174,151,160,0.3131163261119269,145,160,0.11668594324643335,126,137,0.3937275704135742,134,135,,Not Available,Not Available,,Not Available,Not Available,Assessment of Patient Experience of Care,No,Paper or Other Form,No,-0.42071755217043943,17,34,,Not Available,Not Available,0.6826593503658267,67,68,,Not Available,Not Available
450462,TEXAS HEALTH PRESBYTERIAN HOSPITAL DALLAS,8200 WALNUT HILL LANE ,DALLAS,TX,75231,Dallas,-0.054037552280934285,9.05,9715.0,-0.04427325161065635,.75,9715,0.4424921761192952,61,72,-1.2511403375892547,673,1021,-1.2910246453010132,575,1021,-1.3320644881607056,332,534,0.44404585298775223,564,564,0.012824164617191332,180,266,0.7346314212794021,153,266,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,-0.05802111575816338,137,250,-0.28446169272276467,73,250,0.7189927282545531,195,196,0.42557219694215265,119,135
440102,LINCOLN MEDICAL CENTER,106 MEDICAL CENTER BLVD ,FAYETTEVILLE,TN,37334,Lincoln,-0.055606663729009805,0.0,1143.0,-0.04427325161065635,0,1143,,0,0,,0,0,,0,0,0.5070707071457397,59,59,0.44404585298775223,59,59,,Not Available,Not Available,,Not Available,Not Available,Assessment of Patient Experience of Care,No,Paper or Other Form,Yes,,Not Available,Not Available,,Not Available,Not Available,,Not Available,Not Available,,Not Available,Not Available
440104,ERLANGER MEDICAL CENTER,975 E 3RD ST ,CHATTANOOGA,TN,37403,Hamilton,-0.055606663729009805,0.0,4181.0,-0.04427325161065635,0,4181,,Not Available,Not Available,0.5458607710872478,220,221,0.7512043733908328,221,221,,Not Available,Not Available,,Not Available,Not Available,,Not Available,Not Available,,Not Available,Not Available,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,,Not Available,Not Available,,Not Available,Not Available,0.5884196514669423,97,101,1.0257869969115876,30,30
440120,PHYSICIANS REGIONAL MEDICAL CENTER,900 E OAK HILL AVE ,KNOXVILLE,TN,37917,Knox,-0.055606663729009805,0.0,754.0,0.2452610318376042,133.17,754,,Not Available,Not Available,0.3337259390490166,389,407,0.532861664661645,388,407,-0.256683295451782,472,560,-0.10741532495358089,510,555,-1.4389613519856845,70,270,-0.5439053762303603,60,270,Assessment of Patient Experience of Care,No,Certified EHR Technology,Yes,-0.3081305333674618,104,202,-0.20237362828947006,61,202,0.5445168198513972,315,332,-0.8248753029941701,580,923
440132,HENRY COUNTY MEDICAL CENTER,301 TYSON AVE ,PARIS,TN,38242,Henry,-0.055606663729009805,0.0,2074.0,-0.04427325161065635,0,2074,,Not Available,Not Available,0.531967809795072,279,281,0.667981670706046,276,281,0.4501902371878083,169,171,0.41412687415986255,225,226,1.0576645316212734,128,131,-0.6851601498929119,24,131,Assessment of Patient Experience of Care,No,Paper or Other Form,Yes,0.013006936372574409,34,61,,Not Available,Not Available,-0.16776877584218042,54,71,0.825715396921776,22,23
440151,ST THOMAS RIVER PARK HOSPITAL,1559 SPARTA ST ,MCMINNVILLE,TN,37110,Warren,-0.055606663729009805,0.0,791.0,-0.04427325161065635,0,791,,Not Available,Not Available,-2.5351705677854,31,74,-2.471103867640349,23,74,-0.9888370369615644,45,65,-0.7248342516745803,53,64,,Not Available,Not Available,,Not Available,Not Available,Assessment of Patient Experience of Care,Yes,Certified EHR Technology,No,,Not Available,Not Available,,Not Available,Not Available,-0.08753256633790896,43,55,,Not Available,Not Available
440156,PARKRIDGE MEDICAL CENTER,2333 MCCALLIE AVE ,CHATTANOOGA,TN,37404,Hamilton,-0.054037552280934285,9.92,11260.0,-0.04230630675027414,13.92,11260,,Not Available,Not Available,0.1338810343077109,349,380,0.320597018488088,345,380,0.483735129727101,616,619,0.4222865956583782,620,622,0.7143697772161374,260,296,,Not Available,Not Available,Assessment of Patient Experience of Care,Yes,Certified EHR Technology,Yes,-0.8038156631309061,93,207,-0.976464075895438,43,207,0.6039370316069191,299,310,-0.7748574029967172,176,274
440159,DELTA MEDICAL CENTER,3000 GETWELL RD ,MEMPHIS,TN,38118,Shelby,-0.05325299655689652,55.13,36716.0,-0.04387986263857991,8.83,36716,0.9156434304543445,105,107,-0.14558122553106745,550,635,0.11067008868208054,548,635,-0.7438134740658607,433,583,0.32776982163390805,575,585,-0.9342798032097448,91,225,-0.5761404399636093,48,225,Assessment of Patient Experience of Care,Yes,Certified EHR Technology,No,-1.4445793674592604,195,535,-0.870570472776488,118,535,-1.6494893428668127,110,298,0.5756258969345114,161,177
440161,TRISTAR CENTENNIAL MEDICAL CENTER,2300 PATTERSON ST ,NASHVILLE,TN,37203,Davidson,-0.055606663729009805,3.38,44421.0,-0.04230630675027414,54.57,44421,0.7611018574500557,15,16,0.280291472540646,716,757,0.47956173148150055,713,757,0.5002644970653034,721,722,0.41616680453449145,721,724,0.9637541124830904,362,381,-0.9115299794803343,46,381,Assessment of Patient Experience of Care,Yes,Certified EHR Technology,Yes,-0.6398466491695228,325,690,-0.8016164986525206,158,690,0.7382948352579394,432,432,0.17548269695488808,4029,4877
440173,PARKWEST MEDICAL CENTER,9352 PARK WEST BLVD ,KNOXVILLE,TN,37923,Knox,-0.055606663729009805,0.0,5406.0,-0.04427325161065635,0,5406,-0.7059845821660037,12,23,0.5138000911822257,471,476,-0.15255677430407066,384,476,0.5070707071457397,386,386,0.44404585298775223,404,404,-0.02195747210065428,26,39,0.6944281395446756,22,39,Assessment of Patient Experience of Care,No,Non-Certified EHR Technology,No,0.6764391679766958,20,31,,Not Available,Not Available,0.7382948352579394,234,234,0.225500596952341,157,186
440183,ST FRANCIS HOSPITAL,5959 PARK AVE ,MEMPHIS,TN,38119,Shelby,-0.04893794007468885,29.75,7277.0,-0.04427325161065635,0,7277,-1.0030713503614637,14,32,-2.992569601097052,156,468,-3.264992346060394,66,468,0.49880602347663844,595,596,0.27201172472738555,577,592,0.19055832824538238,131,180,0.7237656694592056,103,180,Assessment of Patient Experience of Care,No,Paper or Other Form,No,0.07194510728956938,52,92,-0.6292315633426019,23,92,0.48471813540953473,167,179,0.42557219694215265,68,77
440187,LIVINGSTON REGIONAL HOSPITAL,315 OAK ST ,LIVINGSTON,TN,38570,Overton,-0.055606663729009805,0.05,3033.0,-0.0419129177781977,4.4,3033,,Not Available,Not Available,0.5415860137665782,189,190,0.6282404924576931,185,190,0.47984586682399466,179,180,0.44404585298775223,180,180,-0.8501082423525584,15,35,-0.2103267953503345,11,35,Assessment of Patient Experience of Care,No,Paper or Other Form,No,0.38099269581586276,20,33,,Not Available,Not Available,0.6947704763287353,86,87,0.225500596952341,86,102
440192,SAINT THOMAS HIGHLANDS HOSPITAL,401 SEWELL DR ,SPARTA,TN,38583,White,-0.055606663729009805,0.0,1775.0,-0.04427325161065635,0,1775,,Not Available,Not Available,0.5057849212059699,82,83,0.5824212516537092,80,83,0.4142145553340742,154,157,0.40052733832900334,156,157,0.9199292502186048,15,16,,Not Available,Not Available,Assessment of Patient Experience of Care,Yes,Certified EHR Technology,Yes,-1.3093238213805158,13,34,,Not Available,Not Available,0.6251315020420097,130,134,1.0257869969115876,20,20
440193,TENNOVA HEALTHCARE-LEBANON,1411 W BADDOUR PKWY ,LEBANON,TN,37087,Wilson,-0.05325299655689652,9.83,6622.0,-0.01516246767699972,117,6622,,Not Available,Not Available,0.002432246697118838,202,226,0.06859119406617753,193,226,0.32913692932862143,606,629,0.30329065713836184,615,628,0.07821364164674093,281,404,-0.7123245294434026,71,404,Assessment of Patient Experience of Care,No,Paper or Other Form,No,0.3228101424747271,76,127,-0.1605087154284897,39,127,0.3624714577214232,272,302,-0.3246963030196411,24,33
440200,STONES RIVER HOSPITAL,324 DOOLITTLE RD ,WOODBURY,TN,37190,Cannon,-0.05325299655689652,5.33,3591.0,-0.04427325161065635,0,3591,,Not Available,Not Available,0.16861343753815133,197,213,0.2902067057099353,192,213,0.40983913456807936,196,200,0.44404585298775223,224,224,0.6079379688595298,39,46,-0.40373717774982826,12,46,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,,Not Available,Not Available,,Not Available,Not Available,0.06839818043454238,93,113,0.8757332969192289,175,180
440231,TRUSTPOINT HOSPITAL,1009 NORTH THOMPSON LANE ,MURFREESBORO,TN,37129,Rutherford,-0.05089932938478325,55.7,18803.0,-0.025783969923063626,212.61,18803,,Not Available,Not Available,-0.9161062325817714,327,453,-0.9618741807499465,287,453,-1.6558456248443147,247,445,0.44404585298775223,606,606,0.32585889507780186,230,300,1.0779891787976046,201,300,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,-0.5499281576423128,113,234,-1.0322839597100784,47,234,-1.1306032898934357,697,1377,0.5756258969345114,471,518
441307,RIVERVIEW REGIONAL MEDICAL CENTER,158 HOSPITAL DR ,CARTHAGE,TN,37030,Smith,-0.055606663729009805,0.0,1356.0,-0.04427325161065635,0,1356,,Not Available,Not Available,0.5170061591727281,100,101,0.7049175893133393,100,101,0.5070707071457397,97,97,0.44404585298775223,96,96,-0.42194629435587877,16,29,0.5245602194222738,15,29,Assessment of Patient Experience of Care,Yes,Certified EHR Technology,Yes,,Not Available,Not Available,,Not Available,Not Available,0.3942631633740591,40,44,1.0257869969115876,26,26
441319,CUMBERLAND RIVER HOSPITAL,100 OLD JEFFERSON ST ,CELINA,TN,38551,Clay,-0.055606663729009805,0.0,1544.0,-0.04427325161065635,0,1544,,Not Available,Not Available,0.5699062810160147,167,167,0.3874557066000231,154,167,-1.8182223510490074,84,161,0.40188729191208894,161,162,-0.9495837233655968,12,30,-0.0205383302242394,11,30,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,,Not Available,Not Available,,Not Available,Not Available,0.4756347909373533,67,72,0.12546479695743518,28,34
444002,MOCCASSIN BEND MENTAL HEALTH INSTITUTE,100 MOCCASIN BEND ROAD ,CHATTANOOGA,TN,37405,Hamilton,-0.04540743931651893,184.03,29648.0,-0.04151952880612126,48.35,29648,,0,0,0.3679239976143738,712,740,0.24579009472648156,660,740,0.18134493901057738,390,418,0.12581671454565077,387,406,0.0030853063361945218,155,230,0.6513273239912304,127,230,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,-0.5000573976356246,93,190,-0.7375878083945507,45,190,0.11722115697251899,275,329,,Not Available,Not Available
444003,RIDGEVIEW PSYCHIATRIC HOSPITAL AND CENTER,240 W TYRONE RD ,OAK RIDGE,TN,37830,Anderson,-0.054822108004972045,2.35,4373.0,-0.0419129177781977,6.5,4373,-0.006313487947955232,18,25,0.5699062810160147,414,414,0.7287622962623508,412,414,0.4954029184364207,824,826,0.44404585298775223,826,826,1.13731447970514,487,487,,Not Available,Not Available,Assessment of Patient Experience of Care,No,Paper or Other Form,No,1.4418797723217713,53,71,1.5961758634440142,37,71,-2.2985699999414595,82,415,-0.6748216030018114,177,269
444004,LAKESIDE BEHAVIORAL HEALTH SYSTEM,2911 BRUNSWICK RD ,MEMPHIS,TN,38133,Shelby,-0.054037552280934285,82.88,83943.0,-0.04151952880612126,140.5,83943,,Not Available,Not Available,0.329985526393431,1597,1672,0.5277186886530346,1592,1672,0.22947456743651967,891,945,0.42976634036535066,952,954,1.1004459447842234,561,567,-0.8376428671029997,80,567,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,-1.0048099383093756,380,899,-1.0101201823130888,183,899,0.3586867308580144,556,618,-1.1750006029763407,412,734
444005,BEHAVIORAL HEALTHCARE CENTER AT MARTIN,458 HANNINGS LN ,MARTIN,TN,38237,Weakley,-0.055606663729009805,0.08,3338.0,-0.04427325161065635,0,3338,,Not Available,Not Available,0.5699062810160147,196,196,0.7512043733908328,196,196,0.3087182990873127,188,196,0.23597295477560912,190,196,,Not Available,Not Available,,Not Available,Not Available,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,,Not Available,Not Available,,Not Available,Not Available,0.42302708753596785,88,96,-3.0756808028795515,11,62
444007,ROLLING HILLS PSYCHIATRIC HOSPITAL,2014 QUAIL HOLLOW CIRCLE ,FRANKLIN,TN,37067,Williamson,-0.054822108004972045,14.06,25677.0,-0.04427325161065635,2.65,25677,0.6608968192463612,20,22,0.5592193877143404,1001,1003,0.5319265781146251,956,1003,0.49686139202508567,473,474,0.44404585298775223,474,474,0.09525664363848559,187,267,0.6994988237274339,151,267,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,0.4610881588569073,111,180,0.5109716516358599,70,180,-0.5878734576805822,241,371,-0.7748574029967172,252,395
444008,WESTERN MENTAL HEALTH INSTITUTE,11100 HIGHWAY 64 ,BOLIVAR,TN,38008,Hardeman,-0.0010800409083855235,435.52,13095.0,-0.030898026560057357,107.43,13095,,Not Available,Not Available,0.47693030929145014,621,632,0.6104738480643112,613,632,0.3578202432390314,410,423,0.3468091717971098,413,419,0.9814927472091913,277,290,1.9233446704088752,262,290,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,-0.8408409243479928,40,90,-1.1307896370300317,17,90,0.028658548368747754,234,288,0.4755900969396055,423,474
444010,"PATHWAYS OF TENNESSEE, INC",238 SUMMAR DR ,JACKSON,TN,38301,Madison,-0.055606663729009805,0.0,2954.0,-0.04427325161065635,0,2954,,0,0,0.5699062810160147,713,713,-0.016034138439139464,596,713,0.36365413759369053,692,713,0.39644747757974547,708,713,1.1035762920888297,508,513,2.2380892814672273,508,513,Assessment of Patient Experience of Care,Yes,Certified EHR Technology,No,0.2306247982199398,17,29,,Not Available,Not Available,-3.0464320281510826,0,389,-0.4247321030145469,162,229
444014,MIDDLE TN MENTAL HEALTH INSTITUTE,221 STEWARTS FERRY PIKE ,NASHVILLE,TN,37214,Davidson,-0.042269216420367885,179.2,21881.0,-0.028144303755522276,213.37,21881,,Not Available,Not Available,0.4170837068020748,712,733,0.59177211712391,708,733,0.3850450835607757,233,239,0.3304897288000793,235,239,0.8166277891666034,128,141,0.6292336286234981,77,141,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,-0.9073352710235765,44,101,-0.7310207632398871,24,101,0.4854750807822164,349,374,-1.1750006029763407,396,709
444019,BEHAVIORAL HEALTHCARE CENTER AT CLARKSVILLE,930 PROFESSIONAL PARK DRIVE ,CLARKSVILLE,TN,37040,Montgomery,0.027556243018992704,208.95,4108.0,-0.04427325161065635,0,4108,,0,0,0.5699062810160147,245,245,0.7512043733908328,245,245,0.5070707071457397,165,165,-2.1113069296306572,103,165,,Not Available,Not Available,,Not Available,Not Available,Assessment of Patient Experience of Care,Yes,Paper or Other Form,Yes,,Not Available,Not Available,,Not Available,Not Available,-3.0464320281510826,0,113,-2.575501802905022,19,68
444021,BEHAVIORAL HEALTHCARE CENTER AT COLUMBIA,1400 ROSEWOOD DRIVE ,COLUMBIA,TN,38401,Maury,-0.05521438586699092,0.73,3682.0,-0.04427325161065635,0,3682,,Not Available,Not Available,0.4336483914196698,268,275,0.6151492807994119,267,275,0.4001159773103132,89,91,0.2944509588483028,89,91,,Not Available,Not Available,,Not Available,Not Available,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,1.9655227523919945,31,38,0.12679951008804133,13,38,0.4623882469154214,89,96,-1.7251975029483226,68,152
444022,TEN BROECK TENNESSEE,1 MEDICAL CENTER BLVD 5 WEST ,COOKEVILLE,TN,38501,Putnam,-0.055606663729009805,0.0,5786.0,-0.03640547216912753,28.35,5786,,Not Available,Not Available,0.4961667172344635,855,867,0.45992491399407887,813,867,0.09043341865046545,683,747,-0.7193944373422367,620,748,0.7912371943625759,398,442,0.1917060219969279,188,442,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,0.1550630406340489,87,151,0.36321313565592994,56,151,-0.12802914377638577,374,485,0.27551849694979386,155,183
444023,OAK HILLS BEHAVIORAL CENTER,49 OLD HICKORY BLVD ,JACKSON,TN,38305,Madison,-0.055606663729009805,0.0,534.0,-0.04427325161065635,0,534,,Not Available,Not Available,-1.2110644877079768,22,33,-0.9487829690916654,21,33,0.02091284425743796,27,30,-2.188144307075011,19,31,,Not Available,Not Available,,Not Available,Not Available,Assessment of Patient Experience of Care,No,Paper or Other Form,No,,Not Available,Not Available,,Not Available,Not Available,-0.4826580508778113,42,62,,Not Available,Not Available
444024,"BEHAVIORAL HEALTHCARE CENTER AT MEMPHIS, INC",1505 N SECOND STREET ,MEMPHIS,TN,38107,Shelby,,,,,Not Available,Not Available,,Not Available,Not Available,,Not Available,Not Available,,Not Available,Not Available,,Not Available,Not Available,,Not Available,Not Available,,Not Available,Not Available,,Not Available,Not Available,Assessment of Patient Experience of Care,Not Available,Not Available,Not Available,,Not Available,Not Available,,Not Available,Not Available,,Not Available,Not Available,,Not Available,Not Available
450002,THE HOSPITALS OF PROVIDENCE - MEMORIAL CAMPUS,2001 NORTH OREGON ST. ,EL PASO,TX,79902,El Paso,-0.055606663729009805,0.0,224.0,-0.04427325161065635,0,224,,Not Available,Not Available,0.5255556738140672,238,240,0.6731246467146564,236,240,0.46234418376001585,216,218,0.44404585298775223,208,208,0.8889735935397222,13,14,,Not Available,Not Available,Assessment of Patient Experience of Care,Yes,Certified EHR Technology,Yes,,Not Available,Not Available,,Not Available,Not Available,0.7382948352579394,57,57,0.5256079969370585,18,20
450015,DALLAS COUNTY HOSPITAL DISTRICT,5200 HARRY HINES BLVD ,DALLAS,TX,75235,Dallas,-0.03716960421412246,48.1,4265.0,-0.02381702506268142,53.46,4265,0.27595422530188785,12,15,0.3935725415383919,176,182,0.5702651265424479,174,181,0.124464469052646,199,216,0.4127669205767769,218,219,-0.2981236676403486,74,126,,Not Available,Not Available,Assessment of Patient Experience of Care,Yes,Paper or Other Form,Yes,-0.2408805691160189,22,42,-0.5315467666669812,11,42,-0.34300162961801794,70,98,-0.17464260302728232,81,106
450028,VALLEY BAPTIST MEDICAL CENTER - BROWNSVILLE,1040 WEST JEFFERSON STREET ,BROWNSVILLE,TX,78520,Cameron,-0.05442983014295316,5.12,8310.0,-0.03955258394573906,24.74,8310,-0.46182301020488936,26,44,0.017928241984546643,1059,1181,0.21259452230726913,1045,1181,0.473525814606447,858,864,0.3182501465523067,850,866,0.44342082718411985,305,381,0.8661070183037769,233,381,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,0.27293938246803884,87,147,-0.057077754242538706,47,147,0.5838779792308513,541,564,0.6756616969294172,42,45
450035,ST JOSEPH MEDICAL CENTER,1401 ST. JOSEPH PARKWAY ,HOUSTON,TX,77002,Harris,-0.055606663729009805,0.12,135832.0,-0.042699695722350585,140.32,135832,-1.7658998454191646,27,122,0.016859552654379443,823,918,-0.7767270444399718,618,918,-0.5965076416107054,589,762,-4.9141712643707,162,764,-0.07030394713845971,47,72,-1.3486953943795645,0,72,Assessment of Patient Experience of Care,No,Paper or Other Form,No,-0.46983269460126836,190,385,-0.5069203473369931,102,385,-0.8331237584294866,200,342,-0.5747858030069056,102,149
450039,JPS HEALTH NETWORK,1500 S MAIN ST ,FORT WORTH,TX,76104,Tarrant,-0.054822108004972045,18.21,33040.0,-0.038765806001586176,109.93,33040,0.5405802064736157,21,24,0.564028489700094,875,876,0.7194114307921499,870,876,0.4613718680342394,529,534,0.3039706339299042,523,534,0.10951711469280218,236,335,0.26233340882820355,149,335,Assessment of Patient Experience of Care,Yes,Certified EHR Technology,Yes,-0.0451756169685618,83,151,0.47156938070787824,58,151,0.6455690271044182,199,204,0.27551849694979386,265,312
450040,COVENANT MEDICAL CENTER,3615 19TH STREET ,LUBBOCK,TX,79410,Lubbock,-0.05129160724680212,16.1,6056.0,-0.03168480450421024,46,6056,,Not Available,Not Available,-1.460069101636984,506,816,-3.4029176117458544,91,816,-1.7875944056870445,311,589,-0.056417065587859576,541,584,-0.6615917713418351,154,319,-0.8035968447330513,48,319,Assessment of Patient Experience of Care,No,Certified EHR Technology,Yes,-0.5045911030907783,22,45,,Not Available,Not Available,0.07861694296574659,251,304,1.0257869969115876,37,37
450042,PROVIDENCE HEALTH CENTER,6901 MEDICAL PARKWAY ,WACO,TX,76712,McLennan,-0.055606663729009805,0.3,4560.0,-0.04427325161065635,0,4560,,Not Available,Not Available,0.5699062810160147,18,18,-0.8071173572181238,12,18,,Not Available,Not Available,0.44404585298775223,13,13,,Not Available,Not Available,,Not Available,Not Available,Assessment of Patient Experience of Care,Yes,Certified EHR Technology,Yes,-0.05650988060644533,91,166,-0.505278586048327,44,166,,Not Available,Not Available,-0.17464260302728232,71,94
450046,CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI,2606 HOSPITAL BOULEVARD ,CORPUS CHRISTI,TX,78405,Nueces,-0.05521438586699092,0.9,7400.0,-0.030898026560057357,59.85,7440,,Not Available,Not Available,-0.6377126620731601,339,438,-0.583164129206816,313,438,0.15023083578572605,366,395,-0.2964488730025214,352,395,-2.340849192079421,0,195,-1.3486953943795645,0,195,Assessment of Patient Experience of Care,No,Certified EHR Technology,No,-1.8480791529679181,14,45,,Not Available,Not Available,0.2353046351108801,124,143,0.9757690969141347,66,67
450054,SCOTT & WHITE MEDICAL CENTER - TEMPLE,2401 S  31ST ST ,TEMPLE,TX,76508,Bell,-0.04344605000642453,37.93,5101.0,-0.03168480450421024,39.75,5101,,Not Available,Not Available,0.09861428641218649,362,397,0.19763313755494757,350,397,-1.8571149800800717,94,183,0.40732710624443247,185,186,-0.7868056635260794,21,47,-0.19294159243802042,15,47,Assessment of Patient Experience of Care,Yes,Certified EHR Technology,Yes,1.3020905207878726,91,125,1.7841575309962587,68,125,0.5395966749289657,325,343,1.0257869969115876,52,52
450058,BAPTIST MEDICAL CENTER,111 DALLAS STREET ,SAN ANTONIO,TX,78205,Bexar,-0.055606663729009805,0.0,3703.0,-0.04427325161065635,0,3703,,Not Available,Not Available,0.4459383187165953,506,518,0.5253809722854845,493,518,0.3437216652152703,374,387,0.44404585298775223,394,394,-0.8706294080160871,41,97,-0.19113063380132103,31,97,Assessment of Patient Experience of Care,No,Paper or Other Form,No,-0.014195296358346265,36,65,-1.1660875047363484,12,65,0.49077369839098905,243,260,-0.07460680303237649,18,23
450064,TEXAS HEALTH ARLINGTON MEMORIAL HOSPITAL,800 W RANDOL MILL RD ,ARLINGTON,TX,76012,Tarrant,-0.05521438586699092,0.55,1793.0,-0.04387986263857991,.5,1793,-2.5467229071965427,0,16,-2.695473967310512,91,234,-2.405647809348944,76,234,-1.6412608889576654,72,129,0.44404585298775223,129,129,-0.679678222435115,32,67,-0.2675530882700348,20,67,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,,Not Available,Not Available,,Not Available,Not Available,0.6883364406609405,225,228,0.6756616969294172,37,40
